"","2.5%","97.5%","species","meanocc","phylum"
"1",0.00665456454603478,0.999327841203221,"Cyprinus rubrofuscus",0.617387357528212,"Teleostei"
"2",7.20362166308603e-05,0.994056563704321,"Oreochromis mossambicus",0.212133699471527,"Teleostei"
"3",0.000104943546256254,0.944380656516056,"Rhinogobius similis",0.125906978449637,"Teleostei"
"4",0.00048055560119002,0.99881506322457,"Carassius cuvieri",0.413175775645025,"Teleostei"
"5",2.33742129613348e-05,0.95095682687048,"Rhodeus ocellatus",0.177293316921469,"Teleostei"
"6",1.79938308245467e-06,0.573461396257815,"Paracanthocobitis mandalayensis",0.0466373431647755,"Teleostei"
"7",0.000119691691218508,0.95865096997511,"Rhinogobius cliffordpopei",0.194467657023613,"Teleostei"
"8",1.20910663174795e-05,0.989745096927855,"Misgurnus anguillicaudatus",0.229988463125994,"Teleostei"
"9",2.48101369455636e-05,0.727972489149293,"Pethia stoliczkana",0.0742244918828067,"Teleostei"
"10",1.50463580507451e-05,0.86518645704806,"Hemiculter leucisculus",0.0824945650230126,"Teleostei"
"11",2.99924353831349e-05,0.991346957333551,"Lepidocephalichthys berdmorei",0.205182412736169,"Teleostei"
"12",1.75219461742421e-06,0.864405808561247,"Danio roseus",0.0743858342329227,"Teleostei"
"13",2.87715552744426e-05,0.674053141807675,"Placocheilus cryptonemus",0.0662648482043836,"Teleostei"
"14",1.18606661979311e-06,0.371790581019746,"Neosalanx taihuensis",0.0362094704933645,"Teleostei"
"15",1.8027533386141e-05,0.339686209587146,"Creteuchiloglanis kamengensis",0.0387022062255282,"Teleostei"
"16",1.60102448391369e-06,0.296476847867329,"Oryzias sinensis",0.0297713961976457,"Teleostei"
"17",2.77306345775087e-05,0.615436390081701,"Ictalurus punctatus",0.0652745388070366,"Teleostei"
"18",3.75527778666043e-08,0.170100064470865,"Triplophysa stenura",0.0168478914175794,"Teleostei"
"19",0.00126288725869658,0.919015463188946,"Pteronemacheilus meridionalis",0.258288445521032,"Teleostei"
"20",6.68040716106931e-06,0.308206504296138,"Dario dayingensis",0.0344433009321704,"Teleostei"
"21",1.6262207740414e-06,0.511752488890299,"Labeo rohita",0.0454679142856139,"Teleostei"
"22",2.38868575390883e-06,0.402466943487407,"Channa maculata",0.0397488646216636,"Teleostei"
"23",4.03169971315772e-05,0.814375623149313,"Clarias fuscus",0.125386775670977,"Teleostei"
"24",2.34063518673874e-06,0.328734230002955,"Hyporhamphus intermedius",0.0323758905527314,"Teleostei"
"25",1.5968935508656e-05,0.564168418396911,"Mastacembelus armatus",0.0629226919385298,"Teleostei"
"26",1.32173112189535e-06,0.630888720585199,"Anguilla nebulosa",0.0518496491802582,"Teleostei"
"27",2.40149541298011e-05,0.221645114089157,"Glaridoglanis andersonii",0.0285624540059241,"Teleostei"
"28",7.06911571088838e-05,0.96227368034057,"Glyptothorax burmanicus",0.154970936989412,"Teleostei"
"29",3.31010017705566e-05,0.83205798449763,"Hypophthalmichthys nobilis",0.10064434881021,"Teleostei"
"30",1.69946402439306e-08,0.142640706457508,"Botia histrionica",0.0146541477268798,"Teleostei"
"31",0.000730175244294191,0.998638230642314,"Percocypris tchangi",0.419998373586969,"Teleostei"
"32",6.42919809600327e-07,0.273422983052798,"Homatula anteridorsalis",0.0259571876857186,"Teleostei"
"33",1.92960049522398e-07,0.518971873275816,"Crossocheilus burmanicus",0.0344890609237258,"Teleostei"
"34",4.55289752233868e-08,0.255174206958189,"Cirrhinus mrigala",0.0232391309750004,"Teleostei"
"35",1.47833410491626e-05,0.862753330316671,"Megalobrama amblycephala",0.0837539727584365,"Teleostei"
"36",9.76782505282497e-05,0.687260546409935,"Devario browni",0.0866945767746609,"Teleostei"
"37",1.12616157542732e-07,0.191645207154924,"Micropterus salmoides",0.0184173178761016,"Teleostei"
"38",0.000436674786446175,0.994283117496428,"Luciobarbus brachycephalus",0.341986332769466,"Teleostei"
"39",9.1170957781593e-07,0.256069694054152,"Placocheilus dulongensis",0.0255967362812652,"Teleostei"
"40",0.000101707951686393,0.931900470276179,"Abbottina rivularis",0.206214910623287,"Teleostei"
"41",0.000818702162739612,0.838973231456761,"Tor qiaojiensis",0.149607633976748,"Teleostei"
"42",7.53386102264025e-05,0.993923261526703,"Oreochromis niloticus",0.210193518638514,"Teleostei"
"43",0.00238578614591615,0.996492954598403,"Schizothorax lissolabiatus",0.448444101254358,"Teleostei"
"44",4.61776277219025e-05,0.977793999241197,"Glyptothorax trilineatus",0.180071997112534,"Teleostei"
"45",0.0549162015871582,0.767119955100554,"Schistura disparizona",0.345030742116126,"Teleostei"
"46",0.0022245309490162,0.976627553317821,"Schistura polytaenia",0.376501527933913,"Teleostei"
"47",1.0617779335061e-05,0.781599802522699,"Mylopharyngodon piceus",0.0774813575682146,"Teleostei"
"48",0.000100159340080877,0.941574901710273,"Rhinogobius brunneus",0.19780582912544,"Teleostei"
"49",0.000797442280963634,0.95407042023313,"Channa harcourtbutleri",0.277701139728532,"Teleostei"
"50",3.83568623240718e-05,0.917635104381383,"Barilius barila",0.123990103576134,"Teleostei"
"51",0.000265088191435743,0.609654262453216,"Exostoma gaoligongense",0.0852434147237085,"Teleostei"
"52",0.00112871671554673,0.818683766187914,"Exostoma dulongensis",0.175894809205542,"Teleostei"
"53",1.89816531423645e-06,0.971029734690788,"Tilapia zillii",0.0880012739120215,"Teleostei"
"54",0.000153711609967046,0.647537835952846,"Oncorhynchus mykiss",0.0879037020855676,"Teleostei"
"55",1.00310064277339e-05,0.964593954089638,"Gambusia affinis",0.178825446978666,"Teleostei"
