"","2.5%","97.5%","species","meanocc","phylum"
"1",6.65719102401515e-05,0.316112108897384,"Dremomys pernyi",0.0514639840511568,"Mammalia"
"2",0.00290285220992148,0.702113947432993,"Bos gaurus",0.173037663694115,"Mammalia"
"3",1.03901169612131e-05,0.980364020473083,"Atherurus macrourus",0.147331968249662,"Mammalia"
"4",0.000201656072206855,0.735779047511406,"Naemorhedus evansi",0.0940030104999476,"Mammalia"
"5",1.74549314650922e-05,0.344054323097835,"Equus asinus",0.0472271442735902,"Mammalia"
"6",1.51687107213958e-05,0.587849566486275,"Belomys pearsonii",0.0845588716913881,"Mammalia"
"7",2.01701765694352e-07,0.630395054438924,"Ratufa bicolor",0.0578974943451927,"Mammalia"
"8",0.00022732384364301,0.60839242410049,"Neodon clarkei",0.0859430936924876,"Mammalia"
"9",1.15674463133887e-06,0.414854752784299,"Trogopterus xanthipes",0.0458712613869659,"Mammalia"
"10",3.51641133790175e-05,0.797865106539436,"Capricornis milneedwardsii",0.093696539791025,"Mammalia"
"11",6.70946912107278e-05,0.877245508400777,"Ochotona gaoligongensis",0.120299472198443,"Mammalia"
"12",7.47463235718968e-05,0.631545947852696,"Hystrix hodgsoni",0.0956228986133928,"Mammalia"
"13",0.00345045148384463,0.961716891354124,"Niviventer huang",0.374438658743107,"Mammalia"
"14",5.24658709094342e-09,0.117945692720808,"Micromys erythrotis",0.0130314492896229,"Mammalia"
"15",9.37994487721934e-07,0.920736465591402,"Nycticebus bengalensis",0.0904884314637523,"Mammalia"
"16",0.00190414233632151,0.98122964889879,"Dacnomys millardi",0.399612476251975,"Mammalia"
"17",1.28281347800391e-08,0.245661301301724,"Suncus etruscus",0.02452239370838,"Mammalia"
"18",5.87140338757528e-09,0.127120565907177,"Soriculus nigrescens",0.0139929762047327,"Mammalia"
"19",0.00079586206697678,0.978544727156343,"Callosciurus erythraeus",0.344524870131166,"Mammalia"
"20",8.03965846942541e-07,0.26390787687085,"Ursus thibetanus",0.0317204209412715,"Mammalia"
"21",0.000183612826238229,0.740894616655466,"Hipposideros armiger",0.112243459565178,"Mammalia"
"22",0.000180098924988883,0.957884165824151,"Niviventer brahma",0.237712238593217,"Mammalia"
