site	longitude	latitude	Percent_of_forest_cover_1km	Percent_of_forest_cover_2km	Human_modification_1km	Human_modification_2km	Patch_density_1km	Patch_density_2km	Edge_density_1km	Edge_density_2km		reservoir
GLG07	98.86028	26.95944	26.95944	31.62711864	44.98717949	0.679052114	0.477525583	36.88335639	23.08944617	136.2840018	86.31539401	no
GLG08	98.8775	27.12944	27.12944	50.37288136	53.04291845	0.29288274	0.250453964	34.74143762	22.543149	89.37465412	65.84478103	no
GLG09	98.59139	28.04528	28.04528	55.51724138	59.69491525	0.108790874	0.108502151	18.75941815	11.82616323	65.41193837	42.71516177	no
GLG10	98.62972	28.02472	28.02472	29.53571429	45.625	0.407069176	0.23271655	48.73835523	27.45705435	143.0686656	96.40476861	no
GLG11	98.65833	27.96639	27.96639	48.98245614	52.93162393	0.113508552	0.091688649	18.81670677	13.9260511	63.76087359	52.29310426	no
GLG12	98.65806	27.76667	27.76667	54.57142857	59.30508475	0.330248713	0.308852534	22.29654404	12.65822785	53.04719435	30.26254102	no
GLG13	98.41111	27.91111	27.91111	69.48333333	66.48497854	0.097749412	0.100379031	0.617283951	3.209946136	0.37037037	8.455467869	no
GLG14	98.33833	27.89306	27.89306	63.68333333	66.24786325	0.131426752	0.107839352	11.67972952	8.141728708	29.23005994	25.41158787	no
GLG15	98.33111	27.785	27.785	66.71428571	72.46153846	0.101241343	0.095635149	9.282465423	4.061706698	24.69135802	13.19273579	no
GLG16	98.32472	27.8375	27.8375	63.57142857	68.64830508	0.105223589	0.096249879	6.162568559	3.44336448	17.84063598	11.9735174	no
GLG17	98.20417	28.21556	28.21556	59.3559322	55.2034632	0.099884942	0.096224866	16.90954928	10.72894152	37.17026379	35.68743539	no
GLG18	98.235	28.20056	28.20056	62.93333333	57.6637931	0.102725238	0.100826941	17.34659109	11.42088301	43.76916643	31.09452736	no
GLG19	98.23583	28.20222	28.20222	62.4137931	58.27777778	0.102725238	0.100875328	16.10754886	10.62591316	40.33082427	30.5885662	no
GLG20	98.295	28.14667	28.14667	65.9137931	63.58297872	0.103450805	0.101635088	9.223390518	6.734481327	21.85943553	15.31702962	no
GLG21	98.30917	28.12667	28.12667	61.75438596	61.78205128	0.102702916	0.102332003	10.44450588	9.715660234	26.44917519	28.72387937	no
GLG22	98.31972	28.12556	28.12556	62.81666667	62.56465517	0.103309974	0.102120284	14.14253213	10.80192556	40.85962	29.47047082	no
GLG23	98.32583	28.07639	28.07639	60.86885246	61.32905983	0.107699573	0.102627285	10.79347457	7.901304106	39.13405495	24.6192119	no
GLG24	98.32167	28.01333	28.01333	63.53448276	66.14893617	0.106414497	0.094805977	10.53773439	6.420344663	35.33240353	20.34153102	no
GLG25	98.34917	27.69944	27.69944	66.6440678	68.74137931	0.111557223	0.099947851	9.220839096	5.247000595	17.61180267	14.96569871	no
GLG26	98.27056	27.6775	27.6775	78	77.07359307	0.092284091	0.081035586	3.688335639	4.227138227	19.08713693	17.04945752	no
GLG27	98.275	27.68806	27.68806	74.42372881	78.97435897	0.09641517	0.088360053	8.333333333	3.441425376	28.7037037	12.99920222	no
GLG28	98.34583	27.7625	27.7625	65.03571429	70.36864407	0.104556456	0.097875369	7.741855568	4.999726577	26.47714604	16.31160796	no
GLG29	98.34	27.86639	27.86639	59.20338983	64.91880342	0.093271323	0.100732647	15.98278777	8.22407068	44.62886123	26.62249166	no
GLG30	98.84417	26.85972	26.85972	62.17741935	61.50854701	0.265145898	0.315894076	8.022462896	6.414920166	18.51337591	18.30599169	no
GLG31	98.88306	26.78333	26.78333	40.17857143	49.95689655	0.370303035	0.310318836	34.74143762	23.48410126	118.0593986	102.6490066	no
GLG32	98.88944	26.75049	26.75049	33.13793103	43.58119658	0.25796935	0.260876247	33.16286998	24.56618004	136.8665737	111.7682955	no
GLG33	98.89056	26.71611	26.71611	40	49.45762712	0.259943485	0.296684361	33.81909857	23.88559972	100.5349567	92.16708956	no
GLG34	98.89889	26.645	26.645	38.12068966	52.71244635	0.256791204	0.288855501	31.640709	21.84175298	125.9791724	84.59569271	no
GLG35	98.89911	26.58003	26.58003	40.98333333	44.22317597	0.258866757	0.318462946	30.88135384	20.74428945	98.66592551	86.67981776	no
GLG36	98.82306	26.36142	26.36142	55.38983051	64.93191489	0.272488445	0.285149744	14.18570944	9.86123829	87.33462855	53.3915616	no
GLG37	98.84444	25.74917	25.74917	29.35	34.78111588	0.539642096	0.556503615	39.03488551	31.00556691	153.526971	130.8340967	no
GLG38	98.86278	25.54361	25.54361	39.42857143	28.94444444	0.610972524	0.542782287	30.22172881	32.08815634	119.3449903	139.6539175	no
GLG39	98.85972	25.50056	25.50056	24.75862069	26.44871795	0.671582997	0.622272909	37.66478343	33.08694122	147.077892	148.0933943	no
GLG40	98.83667	25.36944	25.36944	33.43333333	42.90638298	0.684097111	0.577648759	39.17576655	23.07319286	133.2593004	101.9522268	no
GLG41	98.80667	25.30667	25.30667	41.6440678	47.03418803	0.42995894	0.423763188	27.22856524	24.22083148	120.3007519	107.095141	no
