"","2.5%","97.5%","species","meanocc","phylum"
"1",0.000109620707158163,0.230819680834721,"Lophura nycthemera",0.0485890264177795,"Aves"
"2",4.15636451240466e-06,0.213866576101315,"Phalacrocorax carbo",0.0319504513854299,"Aves"
"3",0.000238197159607046,0.7708437343152,"Anser anser",0.139380596147225,"Aves"
"4",0.005630890547335,0.883951956172256,"Luscinia svecica",0.280856889471109,"Aves"
"5",0.000198667592307493,0.380618360123312,"Lophophorus impejanus",0.0712320300007084,"Aves"
"6",0.000492726469122063,0.801656329188103,"Enicurus maculatus",0.15990439323214,"Aves"
"7",1.18204595258935e-05,0.190333608091584,"Tragopan termminckii",0.03239944036835,"Aves"
"8",1.00688245094148e-09,0.106708369743767,"Troglodytes troglodytes",0.0118204192131739,"Aves"
"9",8.94105313324196e-10,0.0867121327145592,"Ithaginis cruentus",0.00969381285147411,"Aves"
"10",7.71486146589695e-06,0.201702752804194,"Culicicapa ceylonensis",0.0314938312220325,"Aves"
"11",2.35849152717667e-05,0.367153752176873,"Ixos mcclellandii",0.0532164570327197,"Aves"
"12",6.9887978768001e-05,0.416682063697922,"Cinclus pallasii",0.0646202211513672,"Aves"
"13",8.8228966894478e-10,0.0927131970388127,"Sitta nagaensis",0.010408881889838,"Aves"
"14",2.73521920303676e-05,0.937819659272999,"Pomatorhinus ochraceiceps",0.1670538837601,"Aves"
"15",2.74845312147139e-06,0.177798018203051,"Lonchura striata",0.0259629804746032,"Aves"
"16",0.000157610261674583,0.456580470562412,"Dicrurus leucophaeus",0.0789449398823324,"Aves"
"17",6.46035758011479e-10,0.0821529778713994,"Charadrius dubius",0.00932392523065012,"Aves"
"18",1.14270191953393e-06,0.195660131704734,"Treron curvirostra",0.0265441568450783,"Aves"
"19",0.00028327040389088,0.897905389630446,"Hirundo rustica",0.187618402797576,"Aves"
"20",0.00129502472191251,0.741766653290128,"Myophonus caeruleus",0.164118758703127,"Aves"
"21",2.41891486307363e-05,0.213087820341151,"Tarsiger rufilatus",0.0384912186056939,"Aves"
"22",0.000183021352391207,0.265617958940138,"Niltava davidi",0.0565653124593859,"Aves"
"23",1.29492602495233e-05,0.206211358205595,"Turdinus brevicaudatus",0.0346164433643065,"Aves"
"24",5.69598209863993e-05,0.413579274391875,"Treron sphenura",0.0663850344687172,"Aves"
"25",1.48073812395403e-06,0.353036095058056,"Dicrurus hottentottus",0.0406174375408995,"Aves"
"26",7.71999814027394e-10,0.0908218807964834,"Streptopelia orientalis",0.010324120215197,"Aves"
"27",4.247369913052e-07,0.228650885944795,"Chloropsis hardwickii",0.0263063212829396,"Aves"
"28",0.000591777246606252,0.404338304943394,"Schoeniparus castaneceps",0.0884496541561368,"Aves"
"29",1.18126813589815e-06,0.159399989624905,"Pycnonotus melanicterus",0.0229521742478103,"Aves"
"30",0.0099986634753172,0.473146249352086,"Amaurornis phoenicurus",0.166682573093277,"Aves"
"31",1.3815970940085e-05,0.345523874571937,"Niltava sundara",0.0512703377291525,"Aves"
"32",7.63686259238577e-05,0.37559915812706,"Vanellus cinereus",0.0632857399076359,"Aves"
"33",1.7232664886779e-09,0.1116784301196,"Gallinula chloropus",0.0124448760207669,"Aves"
"34",6.87146191105993e-06,0.319369172082852,"Bubulcus ibis",0.042405928932517,"Aves"
"35",5.18342656285023e-06,0.163084086257476,"Phasianus colchicus",0.0258930390098579,"Aves"
"36",7.2759698445255e-05,0.23230280101323,"Ceyx erithaca",0.0456332514553913,"Aves"
"37",1.56011845762707e-09,0.0897357987063826,"Aerodramus brevirostris",0.0102029095395956,"Aves"
"38",2.92135458227604e-06,0.207166616364256,"Psilopogon virens",0.0303226173307094,"Aves"
"39",6.01210694643845e-09,0.126564554913509,"Zapornia fusca",0.0144984460233972,"Aves"
"40",1.22127731630956e-09,0.0833614142799045,"Hirundapus caudacutus",0.00944066912498985,"Aves"
"41",3.19824050177076e-05,0.916116392671509,"Trochalopteron subunicolor",0.157641332548458,"Aves"
"42",4.27241137557424e-06,0.208146801717634,"Bambusicola fytchii",0.0324203974466613,"Aves"
"43",9.46954924030754e-10,0.0899703238139643,"Emberiza rutila",0.0100987736236309,"Aves"
"44",2.27446865108131e-08,0.143323881593293,"Arborophila rufogularis",0.0169383295875767,"Aves"
"45",1.78274814138503e-08,0.141690163387652,"Babax lanceolatus",0.0164578994212777,"Aves"
"46",2.31337878682219e-08,0.1405911871067,"Sylviparus modestus",0.0166535215495966,"Aves"
"47",1.49366851942674e-07,0.120444676859678,"Machlolophus spilonotus",0.0155287538085346,"Aves"
"48",1.54652879619244e-09,0.0991994231887195,"Ficedula hyperythra",0.0111106234108808,"Aves"
"49",2.22188095119873e-06,0.216718920032313,"Rostratula benghalensis",0.0300350880503734,"Aves"
"50",1.51767672459969e-09,0.0927048442012081,"Halcyon smyrnensis",0.0103632049331249,"Aves"
"51",4.07971480596719e-07,0.13274044725568,"Alcedo atthis",0.0179447381193304,"Aves"
"52",1.13380495366881e-09,0.082283658037622,"Ardea intermedia",0.00943715475045161,"Aves"
"53",5.30351798181236e-10,0.0749158718569952,"Columba hodgsonii",0.00846974462798281,"Aves"
"54",9.17797321862683e-10,0.0918213495479304,"Parus monticolus",0.0104383352584208,"Aves"
"55",4.30943826926773e-10,0.0696302774541296,"Psilopogon franklinii",0.00774434669189114,"Aves"
"56",3.58483094383444e-09,0.125073421215889,"Chelidorhynx hypoxanthus",0.0139952061023703,"Aves"
"57",6.52402427509823e-10,0.071915670574926,"Muscicapa sibirica",0.00809665162906775,"Aves"
