"","(Intercept)","scale(annual_precipitation)","scale(mean_temperature)","scale(Percent_of_forest_cover_1km)","scale(Human_modification_1km)","scale(Patch_density_1km)","scale(Edge_density_1km)","riverOriginoutsideGLGS","Regional_DivisionNorthwest","Regional_DivisionSouthwest","riverdy","riverlc","rivernu"
"1",1,1.01744888419048,-0.263075164878337,0.108038547040515,-0.0828542897408146,0.855475771573702,1.11590596328461,0,0,1,1,0,0
"2",1,0.974395797077316,-0.563378987923284,0.768504065351588,-0.74287550122858,-0.0508547240471636,-0.0595957018424656,0,0,1,1,0,0
"3",1,0.925961074075004,0.188642475846984,-0.63427974567358,-0.486433192400209,-0.49969193217052,0.332238186533225,1,0,1,1,0,0
"4",1,0.839854899848671,0.297155647673757,0.813662944868268,-0.972726347883355,-0.49969193217052,-0.614691379029268,0,0,1,1,0,0
"5",1,0.678405823174298,1.52613032427194,1.07051098795651,-0.953638443385566,-1.62179140044557,-1.48543141040961,0,0,1,1,0,0
"6",1,0.699932366730881,1.80372226719734,1.036641828319,-0.365972966628786,-0.724112714599312,-1.12625267741066,0,0,1,1,0,0
"7",1,0.473903659386758,0.819533005805774,0.452382687618668,0.26071207136576,-0.94853131866099,-0.244626428565353,0,0,1,1,0,0
"8",1,0.62458946428284,1.10217199576531,-1.64473580135508,1.85773341434743,-0.0508547240471636,0.441082876092104,1,0,1,1,0,0
"9",1,0.264019859710073,0.663072189224389,-2.00319439706124,1.9494583043236,-1.62179140044557,-1.48543141040961,1,0,1,1,0,0
"10",1,0.355507669825551,0.582318185216919,0.2068243644096,-0.0576054018896941,-0.49969193217052,0.386662279821734,1,0,1,1,0,0
"11",1,0.333981126268968,0.670642831975266,-1.9298093736234,1.22260024069526,-0.94853131866099,-1.13713539785748,1,0,1,0,1,0
"12",1,0.28016476737751,0.902810581463445,-1.8056190738766,0.682986188800164,-0.0508547240471636,-0.614691379029268,1,0,1,0,1,0
"13",1,0.635352736061132,1.09460132894786,-1.95521170440734,1.72855441540674,-0.724112714599312,-0.94121845366963,1,0,1,1,0,0
"14",1,0.34474439804726,0.930569797415869,0.802373224989098,0.560504141618216,1.06820693504464,0.00571111189286228,1,0,1,1,0,0
"15",1,0.457758751719321,0.158359832643718,-1.65602552123425,0.69015542954982,0.855475771573702,-0.353467621106095,1,0,1,1,0,0
"16",1,-0.214945734423901,0.970946727219908,-2.00319439706124,2.06928704256785,-1.62179140044557,-1.48543141040961,1,0,1,0,1,0
